Type,Year,Capacity,,,,,,
Water Power ,1995,1905.8,,,,,,
Water Power ,1996,1879.7,,,,,,
Water Power ,1997,1959.8,,,,,,
Water Power ,1998,2080.0,,,,,,
Water Power ,1999,2038.1,,,,,,
Water Power ,2000,2224.1,,,,,,
Water Power ,2001,2774.3,,,,,,
Water Power ,2002,2879.7,,,,,,
Water Power ,2003,2836.8,,,,,,
Water Power ,2004,3535.4,,,,,,
Water Power ,2005,3970.2,,,,,,
Water Power ,2006,4357.9,,,,,,
Water Power ,2007,4852.6,,,,,,
Water Power ,2008,5851.9,,,,,,
Water Power ,2009,6156.4,,,,,,
Water Power ,2010,7221.7,,,,,,
Water Power ,2011,6989.5,,,,,,
Water Power ,2012,8721.1,,,,,,
Water Power ,2013,9202.9,,,,,,
Fire Power ,1995,8043.2,,,,,,
Fire Power ,1996,8777.1,,,,,,
Fire Power ,1997,9240.7,,,,,,
Fire Power ,1998,9441.0,,,,,,
Fire Power ,1999,10205.4,,,,,,
Fire Power ,2000,11164.5,,,,,,
Fire Power ,2001,11767.5,,,,,,
Fire Power ,2002,13273.8,,,,,,
Fire Power ,2003,15803.6,,,,,,
Fire Power ,2004,17933.9,,,,,,
Fire Power ,2005,20473.4,,,,,,
Fire Power ,2006,23696,,,,,,
Fire Power ,2007,27229.3,,,,,,
Fire Power ,2008,27900.8,,,,,,
Fire Power ,2009,29827.8,,,,,,
Fire Power ,2010,33319.3,,,,,,
Fire Power ,2011,38337,,,,,,
Fire Power ,2012,38928.1,,,,,,
Fire Power ,2013,42470.1,,,,,,
Nuclear Power ,1995,128.3,,,,,,
Nuclear Power ,1996,143.4,,,,,,
Nuclear Power ,1997,144.2,,,,,,
Nuclear Power ,1998,141.0,,,,,,
Nuclear Power ,1999,149.5,,,,,,
Nuclear Power ,2000,167.4,,,,,,
Nuclear Power ,2001,174.72,,,,,,
Nuclear Power ,2002,251.2,,,,,,
Nuclear Power ,2003,433.4,,,,,,
Nuclear Power ,2004,504.7,,,,,,
Nuclear Power ,2005,530.9,,,,,,
Nuclear Power ,2006,548.4,,,,,,
Nuclear Power ,2007,621.3,,,,,,
Nuclear Power ,2008,683.9,,,,,,
Nuclear Power ,2009,701.3,,,,,,
Nuclear Power ,2010,738.8,,,,,,
Nuclear Power ,2011,863.5,,,,,,
Nuclear Power ,2012,973.9,,,,,,
Nuclear Power ,2013,1116.1,,,,,,
Wind Power ,1995,0,,,,,,
Wind Power ,1996,0,,,,,,
Wind Power ,1997,0,,,,,,
Wind Power ,1998,0,,,,,,
Wind Power ,1999,0,,,,,,
Wind Power ,2000,0,,,,,,
Wind Power ,2001,0,,,,,,
Wind Power ,2002,0,,,,,,
Wind Power ,2003,0,,,,,,
Wind Power ,2004,0,,,,,,
Wind Power ,2005,0,,,,,,
Wind Power ,2006,0,,,,,,
Wind Power ,2007,0,,,,,,
Wind Power ,2008,0,,,,,,
Wind Power ,2009,0,,,,,,
Wind Power ,2010,446.2,,,,,,
Wind Power ,2011,703.3,,,,,,
Wind Power ,2012,959.8,,,,,,
Wind Power ,2013,1412,,,,,,